"sample_id","video","label_key","synthetic","sample_index","second","overlay_path","frame_path","model_prediction","model_reason","assistant_draft_label","assistant_confidence","assistant_note","user_label","user_note","front_wall_ratio","front_floor_ratio","depth_front_score","fusion_front_score","mean_luma","dark_ratio","low_visibility","semantic_left_score","semantic_right_score","depth_left_score","depth_right_score","fusion_left_score","fusion_right_score"
"walk_wall_approach_01__t1_5","walk_wall_approach_01.mp4","wall_approach","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t01_5_frame.jpg","turn_right","semantic_wall_or_no_floor","stop","medium","Direct wall approach is unsafe unless a clear side opening is visible.","front_passable","前方可走但等等要往右走才能繼續直行","0.6725","0.2091","0.2096","0.6371","134.3","0.0109","false","0.9648","0.4367","0.5956","0.1894","0.9648","0.4367"
"walk_wall_approach_01__t4_68","walk_wall_approach_01.mp4","wall_approach","false","2","4.68","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t4_68_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t4_68_frame.jpg","turn_right","semantic_wall_or_no_floor","stop","medium","Direct wall approach is unsafe unless a clear side opening is visible.","front_passable","","0.7971","0.0719","0.305","0.8061","132.19","0.0068","false","1.0","0.2272","0.6536","0.1918","1.0","0.2272"
"walk_wall_approach_01__t7_86","walk_wall_approach_01.mp4","wall_approach","false","3","7.86","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t7_86_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t7_86_frame.jpg","turn_right","semantic_wall_or_no_floor","stop","medium","Direct wall approach is unsafe unless a clear side opening is visible.","stop","可能往右轉，因為左邊是牆壁","0.823","0","0.8332","0.8673","134.32","0.0027","false","1.0","0.5031","0.861","0.7928","1.0","0.7928"
"walk_wall_approach_01__t11_04","walk_wall_approach_01.mp4","wall_approach","false","4","11.04","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t11_04_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t11_04_frame.jpg","front_passable","passable","stop","medium","Direct wall approach is unsafe unless a clear side opening is visible.","stop","這張應該標註成全紅這部分是牆壁","0","0","0.1546","0.25","142.86","0","false","0.25","0.25","0.1103","0.2811","0.25","0.2811"
"walk_corridor_forward_01__t1_5","walk_corridor_forward_01.mp4","corridor_forward","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t01_5_frame.jpg","front_passable","passable","front_passable","high","Scenario is corridor forward and model also generally keeps it passable.","front_passable","左邊藍色部分是衣櫃，而右邊紅藍交替的部分是門","0.2841","0.6479","0.1559","0.2422","129.94","0.0071","false","0.3548","0.685","0.5121","0.3727","0.5121","0.685"
"walk_corridor_forward_01__t4_47","walk_corridor_forward_01.mp4","corridor_forward","false","2","4.47","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t4_47_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t4_47_frame.jpg","front_passable","passable","front_passable","high","Scenario is corridor forward and model also generally keeps it passable.","front_passable","","0.2985","0.3174","0.0979","0.2947","127.31","0.029","false","0.6384","0.8981","0.4507","0.3418","0.6384","0.8981"
"walk_corridor_forward_01__t7_44","walk_corridor_forward_01.mp4","corridor_forward","false","3","7.44","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t7_44_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t7_44_frame.jpg","front_passable","passable","front_passable","high","Scenario is corridor forward and model also generally keeps it passable.","stop","視角中下面是櫃子，上面是窗簾，應該要標註成障礙物或者不可通行區域","0.1059","0","0.1343","0.3294","122.68","0.0457","false","0.7302","0.6294","0.3715","0.1471","0.7302","0.6294"
"walk_corridor_forward_01__t10_41","walk_corridor_forward_01.mp4","corridor_forward","false","4","10.41","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t10_41_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t10_41_frame.jpg","front_passable","passable","front_passable","high","Scenario is corridor forward and model also generally keeps it passable.","stop","這是窗簾，不能走","0","0","0.2379","0.25","131.16","0.0046","false","0.25","0.25","0.3004","0.3072","0.3004","0.3072"
"walk_left_open_right_wall_01__t1_5","walk_left_open_right_wall_01.mp4","left_open_right_wall","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t01_5_frame.jpg","stop","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","front_passable","7點鐘方向那是藍色的床，要標起來，而3點鐘方向則是衣櫃","0.5837","0.1573","0.1622","0.6003","130.51","0.0018","false","0.7152","0.3475","0.0316","0.6775","0.7152","0.6775"
"walk_left_open_right_wall_01__t5_56","walk_left_open_right_wall_01.mp4","left_open_right_wall","false","2","5.56","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t5_56_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t5_56_frame.jpg","turn_right","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","stop","這全部都是牆壁","0.5049","0","0.1073","0.6286","149.49","0","false","0.9916","0.311","0.2046","0.3732","0.9916","0.3732"
"walk_left_open_right_wall_01__t9_62","walk_left_open_right_wall_01.mp4","left_open_right_wall","false","3","9.62","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t9_62_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t9_62_frame.jpg","turn_left","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","front_passable","10點鐘方向應該是可行區域","0.6347","0.1498","0.1995","0.6428","134.21","0.0111","false","0.2896","1.0","0.2152","0.6107","0.2896","1.0"
"walk_left_open_right_wall_01__t13_68","walk_left_open_right_wall_01.mp4","left_open_right_wall","false","4","13.68","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t13_68_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t13_68_frame.jpg","turn_right","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","stop","","0.9924","0","0.2153","0.9943","136.25","0","false","1.0","0.6205","0.3367","0.238","1.0","0.6205"
